index,Name,# Features,# Categorical Features,# Instances,# Classes,# NaNs,Minority Class Size,id,roc,pred_time,cross_entropy,accuracy
115,doa_bwin,14,3,530,2,0,176,45711,0.5953263603866012,0.23284482955932617,0.6109884769849058,0.6867924528301886
116,CPMP-2015-runtime-classification,23,1,527,4,0,78,41919,0.7226006032631132,0.21927618980407715,1.1216863666971524,0.5303030303030303
117,kc2,22,1,522,2,0,107,1063,0.862020905923345,0.22739219665527344,0.3759382788976833,0.8390804597701149
118,threeOf9,10,10,512,2,0,238,40690,0.9888059701492538,0.20680761337280273,0.1489694325810973,0.94140625
119,rmftsa_ladata,11,1,508,2,0,222,717,0.9453246753246753,0.2131500244140625,0.4351018604398009,0.84251968503937
121,boston,14,2,506,2,0,209,853,0.9584967320261437,0.20202255249023438,0.25326398910655273,0.8972332015810277
122,collins,23,3,500,2,0,80,987,1.0,0.21072840690612793,0.00118123088516586,1.0
123,pm10,8,1,500,2,0,246,750,0.5285897435897436,0.1804213523864746,0.6958944578170776,0.496
124,no2,8,1,500,2,0,249,886,0.6506147540983607,0.17244648933410645,0.6568054487109184,0.592
125,LED-display-domain-7digit,8,1,500,10,0,37,40496,0.9341145406995972,0.19995927810668945,0.962568409472704,0.732
126,irish,6,4,500,2,32,222,451,1.0,0.19994330406188965,0.0015704587610853196,1.0
127,PopularKids,11,5,478,3,0,90,1100,0.6309098472754086,0.20331120491027832,0.9893894125726931,0.5690376569037657
128,analcatdata_apnea2,4,3,475,2,0,64,765,0.9507558048932522,0.19469976425170898,0.15243886380264157,0.9201680672268907
129,analcatdata_apnea1,4,3,475,2,0,61,767,0.9023799919322308,0.18674850463867188,0.2627376980180539,0.9159663865546218
130,thoracic-surgery,17,14,470,2,0,70,1506,0.6360897221292267,0.19874191284179688,0.3645460913472987,0.8765957446808511
131,analcatdata_vineyard,4,2,468,2,0,208,724,0.8947523584905661,0.18814325332641602,0.420617608861942,0.8162393162393162
132,chscase_vine2,3,1,468,2,0,212,814,0.8967423349056605,0.059040069580078125,0.4132836114176903,0.811965811965812
133,sa-heart,10,2,462,2,0,160,1498,0.7683146878383255,0.18592047691345215,0.5239821796615919,0.7272727272727273
134,analcatdata_apnea3,4,3,450,2,0,55,764,0.951114067176588,0.1809091567993164,0.164680426604011,0.9244444444444444
135,wholesale-customers,9,2,440,2,0,142,1511,0.9690855238800444,0.17419672012329102,0.21618803375599369,0.9454545454545454
136,mw1,38,1,403,2,0,31,1071,0.8451251078515962,0.17770600318908691,0.2650441111014732,0.905940594059406
137,user-knowledge,6,1,403,5,0,24,1508,0.979411042430088,0.1666851043701172,0.29348148073825875,0.905940594059406
138,chscase_census5,8,1,400,2,0,193,906,0.4556,0.15533781051635742,0.7074382688105106,0.465
139,chscase_census4,8,1,400,2,0,194,907,0.516390977443609,0.14093542098999023,0.6919823127985001,0.515
140,chscase_census3,8,1,400,2,0,192,908,0.4683873549419768,0.13822531700134277,0.7107656548917294,0.465
141,chscase_census2,8,1,400,2,0,197,909,0.562056205620562,0.15786433219909668,0.6888782003521919,0.52
142,chscase_census6,7,1,400,2,0,165,900,0.5032679738562091,0.12672662734985352,0.6773053176701069,0.595
143,analcatdata_germangss,6,5,400,4,0,100,475,0.5586415665237707,0.15954136848449707,1.3583237563632429,0.225
145,autoMpg,8,4,398,2,6,189,831,0.9778115501519757,0.16325139999389648,0.22801546507150702,0.914572864321608
146,vinnie,3,1,380,2,0,185,860,0.9116994116994117,0.05193328857421875,0.39501926785359454,0.8315789473684211
147,jEdit_4.2_4.3,9,1,369,2,0,165,1048,0.650927883486023,0.14865374565124512,0.6654656586816182,0.5945945945945946
149,analcatdata_draft,5,3,366,2,1,32,984,0.5986531986531987,0.15341901779174805,0.36564611257282925,0.9016393442622951
150,analcatdata_birthday,4,3,365,2,30,53,968,0.9245283018867925,0.1609668731689453,0.23293240697843867,0.8797814207650273
151,ionosphere,35,1,351,2,0,126,59,0.9823275862068966,0.1691877841949463,0.14098694125302494,0.9545454545454546
152,SPECTF,45,1,349,2,0,95,337,0.9064891337618611,0.16244125366210938,0.35806655537461796,0.8
153,penguins,7,3,344,3,18,68,42585,0.999906629318394,0.1426830291748047,0.024462774079433244,0.9883720930232558
154,CastMetal1,38,1,327,2,0,42,1447,0.7588652482269503,0.14915251731872559,0.3887131705357716,0.8597560975609756
155,visualizing_galaxy,5,1,323,2,0,148,925,0.9948153967007071,0.07289814949035645,0.10964096466835897,0.9444444444444444
156,plasma_retinol,14,4,315,2,0,133,915,0.5190130133513605,0.13359403610229492,0.6823939690484276,0.5379746835443038
157,solar-flare,13,13,315,5,0,21,40686,0.9167934487903949,0.1451737880706787,0.5343062298827734,0.7658227848101266
158,diggle_table_a2,9,1,310,9,0,18,694,1.0,0.128767728805542,0.35416161091096937,0.9870967741935484
159,vertebra-column,7,1,310,3,0,60,1523,0.942973015873016,0.13370656967163086,0.42320073229460714,0.8193548387096774
160,haberman,4,2,306,2,0,81,43,0.6353276353276354,0.1336536407470703,0.6341564499961785,0.7189542483660131
161,heart-c,14,8,303,2,7,138,49,0.8648696264975335,0.13309550285339355,0.5558807290222161,0.756578947368421
162,cleveland,14,8,303,2,6,139,786,0.9154929577464789,0.17847561836242676,0.37964008069224964,0.8552631578947368
163,cholesterol,14,8,303,2,6,137,798,0.6407665505226482,0.14175128936767578,0.6644181093495143,0.5657894736842105
164,cleve,14,9,303,2,0,138,40710,0.9255024255024256,0.13981389999389648,0.35886618331163556,0.8486842105263158
165,cleveland-nominal,8,8,303,5,0,13,40711,0.7543190046656318,0.14056110382080078,1.2014550870455998,0.5657894736842105
166,CostaMadre1,38,1,296,2,0,38,1446,0.7512348450830714,0.1693270206451416,0.32755620084463843,0.8783783783783784
167,Heart_disease_prediction_20,14,1,296,2,0,137,44149,0.8781067251461989,0.1234593391418457,0.4538974035940309,0.7702702702702703
168,breast-cancer,10,10,286,2,9,85,13,0.6803394625176804,0.15726399421691895,0.5790288573899469,0.7692307692307693
169,breastTumor,10,9,286,2,9,120,844,0.5862449799196787,0.13798880577087402,0.6917260824279352,0.5804195804195804
170,analcatdata_broadwaymult,8,5,285,7,27,21,452,0.7910625652326914,0.18616509437561035,1.299499816358923,0.5104895104895105
171,mu284,11,1,284,2,0,142,880,0.996470099667774,0.12716317176818848,0.09511263277045787,0.9647887323943662
172,DiabeticMellitus,98,1,281,2,2,99,41430,0.9338016177096637,0.164689302444458,0.337124320782134,0.8439716312056738
173,breast-cancer-dropped-missing-attributes-values,10,10,277,2,0,81,23499,0.6482572410407462,0.13537025451660156,0.638779884391873,0.7266187050359713
174,jEdit_4.0_4.2,9,1,274,2,0,134,1073,0.8390854184641932,0.11877965927124023,0.5134391192564346,0.7518248175182481
175,heart-statlog,14,1,270,2,0,120,53,0.8794421952316689,0.12384796142578125,0.5206921163952858,0.7703703703703704
176,SPECT,23,23,267,2,0,55,336,0.9150224991346487,0.12711453437805176,0.3296527763369924,0.7985074626865671
177,Touch2,11,1,265,8,0,27,42544,0.9848953627930362,0.11551141738891602,0.6033373601538571,0.8195488721804511
178,analcatdata_lawsuit,5,2,264,2,0,19,450,0.9879789631855748,0.07772183418273926,0.09208703355814192,0.9545454545454546
179,rmftsa_ctoarrivals,3,2,264,2,0,101,811,0.9895121951219512,0.12520790100097656,0.1418381630075711,0.9545454545454546
180,MegaWatt1,38,1,253,2,0,27,1442,0.6858407079646018,0.11705183982849121,0.35741712247923485,0.8976377952755905
181,bodyfat,15,1,252,2,0,124,778,0.9939516129032258,0.11436128616333008,0.09737430068868153,0.9603174603174603
182,qualitative-bankruptcy,7,7,250,2,0,107,1495,1.0,0.10802245140075684,0.007950668266887078,1.0
183,prnn_synth,3,1,250,2,0,125,464,0.9353246753246752,0.03485703468322754,0.34820499715855113,0.848
184,conference_attendance,7,7,246,2,0,31,41538,0.6007593457943926,0.11167669296264648,0.42822501872386026,0.8536585365853658
185,chatfield_4,13,1,235,2,0,93,820,0.958599695585997,0.10368895530700684,0.26673693563177453,0.8983050847457628
186,chscase_whale,9,1,228,2,20,111,939,0.9971875000000001,0.09227204322814941,0.0679173033790185,0.9824561403508771
187,lungcancer_GSE31210,24,3,226,2,0,35,1412,0.8093567251461988,0.10511970520019531,0.3437676967937598,0.8761061946902655
188,chscase_geyser1,3,1,222,2,0,88,895,0.9023411371237458,0.034271240234375,0.3920876121100354,0.8738738738738738
189,thyroid-new,6,1,215,3,0,30,40682,0.9996573811096533,0.08045840263366699,0.029241442998547293,0.9907407407407407
190,glass,10,1,214,6,0,9,41,0.8857239178579439,0.08957791328430176,1.016119896007754,0.6355140186915887
191,prnn_fglass,10,1,214,2,0,76,996,0.794530672579453,0.09083890914916992,0.5508512916896388,0.6635514018691588
192,seeds,8,1,210,3,0,70,1499,0.9936700106174247,0.08900094032287598,0.17409070736459745,0.9238095238095239
193,biomed,9,2,209,2,15,75,481,0.9537684537684538,0.10103988647460938,0.24261499359605035,0.8761904761904762
194,cpu,8,2,209,2,0,53,796,0.9990723562152134,0.10337424278259277,0.04826496055690032,0.9809523809523809
195,machine_cpu,7,1,209,2,0,56,733,0.9886569872958257,0.06927967071533203,0.13382988540217325,0.9428571428571428
196,sonar,61,1,208,2,0,97,40,0.9543599257884972,0.11582469940185547,0.29829740281386946,0.875
197,regime_alimentaire,20,17,202,2,17,41,42172,0.8711162255466054,0.1154632568359375,0.3723460678669617,0.8217821782178217
